Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.guestara.com/,$0.50,31/12/2024,Pune,Guest Management,Pre-Seed,https://entrackr.com/snippets/guestara-raises-500k-in-pre-seed-funding-round-8580010
https://cargofl.com/,$0.79,02/01/2025,Pune,B2B Logistics,Seed,https://entrackr.com/snippets/cargofl-raises-seed-funding-round-8584928
https://www.klassroom.in/,,02/01/2025,Mumbai,Edtech,Pre-Series A,https://inc42.com/buzz/exclusive-suniel-shetty-backed-klassroom-edutech-raises-funding-to-expand-its-ai-play/
https://www.numberone.academy/,$0.35,30/12/2024,Kochi,Edtech,Pre-Seed,https://entrackr.com/snippets/numberone-academy-raises-pre-seed-funding-round-8577382
https://www.oyorooms.com/,$65.00,04/01/2025,Gurugram,Hospitality,,https://entrackr.com/news/oyo-raises-65-mn-from-ritesh-agarwals-redsprig-innovation-8591029
