Company,Amount ($M),Series,Sector,HQ,Date,Source
https://wonderlandfoods.in/,$15.90,,Healthy-snacking brand,Delhi,23/10/2025,https://entrackr.com/news/wonderland-foods-raises-rs-140-cr-in-maiden-funding-round-10585674
https://michezo.com/,$2.50,Pre-Series A,Sports Infra,Bengaluru,24/10/2025,https://entrackr.com/snippets/michezo-sports-raises-25-mn-in-pre-series-a-funding-10589927
